name,year,pop_n,pop_u,wat_bas_n,wat_lim_n,wat_unimp_n,wat_sur_n,wat_bas_r,wat_lim_r,wat_unimp_r,wat_sur_r,wat_bas_u,wat_lim_u,wat_unimp_u,wat_sur_u
Pakistan,2015,199426.9531,36.02600098,89.45498234,3.65595302,4.42169119,2.467373447,87.15095676,3.956563839,5.236412879,3.656066523,93.54640884,3.122136433,2.974930389,0.35652434
Cabo Verde,2020,555.9879761,66.65200043,88.76960642,7.904150846,3.209147716,0.117095014,80.11452544,9.911127022,9.623217003,0.35113054,93.1,6.9,0,0
Republic of Moldova,2015,4070.705078,42.48999786,88.5760319,1.485629517,9.938338582,0,82.54249075,1.470222482,15.98728677,0,96.7423994,1.506482861,1.751117739,0
Marshall Islands,2020,59.19400024,77.79399109,88.57204698,11.387979,0.039974026,0,94.42972,5.39028,0.18,0,86.9,13.1,0,0
Indonesia,2015,258383.25,53.31299973,88.52735296,0.794130523,8.943859564,1.734656954,80.63079119,0.974045732,14.98518808,3.409975001,95.44249176,0.636576048,3.653376641,0.267555553
Botswana,2015,2120.716064,67.15499878,88.44628953,8.41061416,1.578349601,1.564746708,71.89253383,21.78932755,1.854197906,4.463940709,96.54260258,1.867186166,1.443438497,0.146772762
Kyrgyzstan,2015,5959.125977,35.77700043,88.44176125,1.789935836,2.248062905,7.520240013,83.10521764,2.415973654,3.353168783,11.12563993,98.02134645,0.666140537,0.264296504,1.04821651
Marshall Islands,2015,57.44400024,75.81099701,88.34252362,11.18141559,0.476060792,0,94.27836,5.38164,0.34,0,86.44857737,13.03194895,0.519473684,0
Micronesia (Federated States of),2015,108.8860016,22.45599937,88.30815668,0,11.69184332,null,null,null,null,null,null,null,null,null
Micronesia (Federated States of),2019,113.810997,22.81200027,88.30815668,0,11.69184332,null,null,null,null,null,null,null,null,null
India,2015,1310152.375,32.77700043,88.13813263,4.692599015,6.412451552,0.756816804,85.57200035,5.542133893,7.880870004,1.004995751,93.40106461,2.950270954,3.4008428,0.247821641
Nepal,2015,27015.0332,18.55699921,87.80846759,3.167904459,7.264208528,1.759419423,87.24197964,3.310271258,7.531317484,1.916431618,90.2946711,2.543084752,6.091920182,1.07032397
Ghana,2020,31072.94531,57.34899902,85.79099665,6.586062113,2.812216176,4.810725058,71.89275005,11.93454827,4.999356483,11.17334519,96.12725952,2.608342455,1.185613803,0.078784218
